"","BE","SS","HH","HRLM","ICT","TT","IO","PC","ATI","GPI","TSI","NR","CR","NLR","ES","SI","DS"
"MEX",3.97967803050106,2.77361388050672,4.43183627288284,3.80961916915171,4.86750521631667,4.4080154940617,3.95793621065919,4.52638752169367,4.38331759891786,3.13401703837399,2.21994375777799,6.42763055375796,6.35,4.60805687548088,4.50596010865813,3.42421980156761,4.56390750725379
"SVK",4.68049427610439,5.84553540650214,6.33771983038881,4.60015866568618,5.77653429708269,4.76567602165326,4.18710062301338,4.57026353731416,2.25065180200123,4.25898799701827,2.83813191245328,2.20464831747865,1.87991043713418,1.77133667767528,5.79997209633903,3.5609446318639,2.60694488504653
"ECU",3.03750056355087,4.52270657875524,4.45171416776668,3.55273490712131,4.39121465261078,4.45003845581192,3.65186792003663,5.65943438039923,3.01271136618155,2.84134234901614,2.06781067774674,4.1914213188047,2.11108933791813,2.18214532292433,4.54265011835686,3.39404002724663,4.21925600753548
"NGA",3.19012593735427,3.28117216274599,2.08986461508868,3.63424263947792,3.60520566233529,2.2367312908,3.23710424705849,4.95553986915436,2.93919821091035,2.34879347499419,2.49012575601064,2.98854246636102,1.83519707278327,2.49212470188829,3.77709718256278,5.34382569406264,3.60425490107216
"EGY",3.8824054021191,5.37448191864835,3.9512606115206,3.42673105520331,4.45154628360817,5.86542079502658,3.08593696171102,6.10577328550077,4.58024091385787,3.85477494049251,2.76075713493027,3.10793711629294,3.17995415256744,2.39485953093325,4.06709936185857,2.26666410285848,4.90142751108532
"COL",3.96502414018776,3.48626177062092,4.56552834329134,4.00303049851962,4.99751872420644,4.04966125985657,4.44406052595366,6.01625950685646,3.70279632110104,2.80445366713391,2.45908185857775,5.20087535225276,3.78789853330625,3.39788251442244,4.40393035992446,4.07855849286262,4.05090471203791
"MDA",3.56066961342948,5.79941055099329,5.85152997058164,4.14619919100636,5.022082315308,3.49749587331464,3.57249033737825,5.37539938061781,2.60411858923411,2.95403865189062,1.6448708079783,1.36215515811089,1.25041861523424,1.24216848970548,4.48120402167356,3.98964220952343,3.5835607836944
"MNE",3.85750382370989,6.12443706663205,5.41841192902096,3.79718443042908,5.21572646900155,4.27791818733138,4.13651878980644,4.72534600238158,3.01189985652473,3.34692057918141,6.06960827836335,1.77431405664149,1.22204840839826,1.1448289294789,4.50985846891081,5.3453787097601,3.28079190999897
"CYP",4.95880065606897,5.79152082842786,6.20833333333333,4.82483486722776,5.69292144428756,5.34173642670027,4.78403097443533,3.82119172260522,4.9460702408151,3.58588426473814,6.50259561058626,1.73660798895522,1.61496217967251,2.34335631089534,4.81667969100197,4.01630369229363,3.38882506218975
"PHL",4.08982038572778,5.27040237726624,3.66486398771434,4.03204110528168,4.37796791116795,4.71676070863003,4.0085683029355,5.58745448608706,3.62240756664933,3.11737163578417,1.54815626845916,3.93165280374992,2.00705712275357,2.88552812715406,4.52476031849246,3.41905597208112,4.51985022300042
